Date,Open,High,Low,Close,Adj Close,Volume
2020-09-01,7.300000,7.820000,6.770000,7.650000,7.650000,23211000
2020-09-02,7.800000,8.050000,7.110000,7.710000,7.710000,13011100
2020-09-03,7.880000,8.450000,7.240000,7.820000,7.820000,14344500
2020-09-04,7.780000,7.920000,7.170000,7.650000,7.650000,7662000
2020-09-08,7.550000,8.280000,7.480000,7.700000,7.700000,9816600
2020-09-09,7.960000,7.990000,7.310000,7.350000,7.350000,9068100
2020-09-10,6.650000,6.950000,6.190000,6.230000,6.230000,15558300
2020-09-11,6.260000,6.330000,5.870000,6.090000,6.090000,6061200
2020-09-14,6.800000,7.000000,6.430000,6.910000,6.910000,10119000
2020-09-15,6.860000,7.260000,6.690000,7.090000,7.090000,5743500
2020-09-16,7.030000,9.040000,7.030000,8.680000,8.680000,19256300
2020-09-17,8.570000,9.770000,8.410000,9.200000,9.200000,17026700
2020-09-18,9.200000,9.770000,8.910000,9.470000,9.470000,17407500
2020-09-21,9.350000,9.600000,8.380000,8.750000,8.750000,7639800
2020-09-22,10.450000,11.170000,9.900000,10.560000,10.560000,34752500
2020-09-23,10.600000,10.860000,9.920000,10.040000,10.040000,10651200
2020-09-24,9.710000,9.810000,9.010000,9.140000,9.140000,7938800
2020-09-25,9.190000,10.180000,9.100000,10.020000,10.020000,7515200
2020-09-28,10.160000,10.260000,9.550000,10.090000,10.090000,6764300
2020-09-29,10.000000,10.650000,9.930000,10.350000,10.350000,5237600
2020-09-30,10.250000,10.760000,10.060000,10.200000,10.200000,6079000
2020-10-01,10.090000,10.250000,9.690000,9.770000,9.770000,4554100
2020-10-02,9.380000,9.780000,9.300000,9.390000,9.390000,4340500
2020-10-05,9.440000,9.590000,9.250000,9.460000,9.460000,2805000
2020-10-06,9.560000,9.840000,9.100000,9.130000,9.130000,4535400
2020-10-07,9.230000,9.560000,9.170000,9.360000,9.360000,3308600
2020-10-08,9.540000,13.640000,9.190000,13.490000,13.490000,76453600
2020-10-09,12.830000,14.800000,11.900000,12.020000,12.020000,77152800
2020-10-12,11.660000,12.770000,11.400000,11.800000,11.800000,23655700
2020-10-13,11.730000,12.420000,11.650000,11.880000,11.880000,10179700
2020-10-14,12.670000,12.680000,12.050000,12.250000,12.250000,10776800
2020-10-15,11.990000,15.100000,11.990000,13.830000,13.830000,39894800
2020-10-16,13.770000,13.900000,13.080000,13.310000,13.310000,11651600
2020-10-19,13.440000,14.500000,13.380000,13.910000,13.910000,13169100
2020-10-20,14.030000,14.140000,13.670000,13.860000,13.860000,6604000
2020-10-21,13.900000,14.420000,13.800000,14.100000,14.100000,5361900
2020-10-22,14.200000,15.870000,14.190000,14.910000,14.910000,16212200
2020-10-23,15.050000,15.380000,14.550000,15.000000,15.000000,6507300
2020-10-26,14.930000,15.450000,13.260000,13.450000,13.450000,13376300
2020-10-27,13.710000,13.710000,12.360000,12.690000,12.690000,7231000
2020-10-28,12.270000,13.050000,11.780000,11.820000,11.820000,6388600
2020-10-29,11.880000,12.250000,11.680000,11.730000,11.730000,4165800
2020-10-30,11.640000,11.640000,10.360000,10.470000,10.470000,11546900
